n,algorithm,algorithm_time
2,Floyd,0.01021375
2,BellmanFord,0.00604875
3,Floyd,0.006745
3,BellmanFord,0.00726325
4,Floyd,0.003812
4,BellmanFord,0.006727
5,Floyd,0.0073315
5,BellmanFord,0.01006775
6,Floyd,0.00737425
6,BellmanFord,0.014685
7,Floyd,0.00584
7,BellmanFord,0.02128975
8,Floyd,0.00625275
8,BellmanFord,0.03184425
9,Floyd,0.00645625
9,BellmanFord,0.0434385
10,Floyd,0.00670475
10,BellmanFord,0.05246025
11,Floyd,0.01033675
11,BellmanFord,0.07315325
12,Floyd,0.00785575
12,BellmanFord,0.09412375
13,Floyd,0.0084725
13,BellmanFord,0.1154825
14,Floyd,0.00911725
14,BellmanFord,0.18865325
15,Floyd,0.01111875
15,BellmanFord,0.17610175
16,Floyd,0.012835
16,BellmanFord,0.2013375
17,Floyd,0.011617
17,BellmanFord,0.2636875
18,Floyd,0.0208825
18,BellmanFord,0.33277
19,Floyd,0.01563725
19,BellmanFord,0.34906
20,Floyd,0.018578
20,BellmanFord,0.54246
21,Floyd,0.01867475
21,BellmanFord,0.4669575
22,Floyd,0.020859
22,BellmanFord,0.5344975
23,Floyd,0.022759
23,BellmanFord,0.55875
24,Floyd,0.02605225
24,BellmanFord,0.6535525
25,Floyd,0.0288825
25,BellmanFord,0.698155
26,Floyd,0.03118625
26,BellmanFord,0.84622
27,Floyd,0.03344925
27,BellmanFord,0.9458675
28,Floyd,0.0357615
28,BellmanFord,0.9922275
29,Floyd,0.04022075
29,BellmanFord,1.066165
30,Floyd,0.042128
30,BellmanFord,1.2568725
31,Floyd,0.06942225
31,BellmanFord,1.3948125
32,Floyd,0.0499085
32,BellmanFord,1.60972
33,Floyd,0.0550805
33,BellmanFord,1.67343
34,Floyd,0.06101375
34,BellmanFord,1.9250025
35,Floyd,0.063856
35,BellmanFord,1.95614
36,Floyd,0.06818625
36,BellmanFord,2.2902925
37,Floyd,0.0755515
37,BellmanFord,2.48474
38,Floyd,0.0804225
38,BellmanFord,2.696475
39,Floyd,0.087277
39,BellmanFord,2.91365
40,Floyd,0.0924565
40,BellmanFord,2.92455
41,Floyd,0.10180775
41,BellmanFord,3.353475
42,Floyd,0.13724475
42,BellmanFord,3.657075
43,Floyd,0.11052425
43,BellmanFord,3.7261
44,Floyd,0.12295875
44,BellmanFord,4.3794
45,Floyd,0.1207515
45,BellmanFord,4.370125
46,Floyd,0.132151
46,BellmanFord,4.73445
47,Floyd,0.143922
47,BellmanFord,4.8508
48,Floyd,0.1567925
48,BellmanFord,5.341575
49,Floyd,0.166836
49,BellmanFord,5.450725
